site_code,site_name,pollutant_name,pollutant_api_code,timestamp,value
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 00:00:00,17.6
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 01:00:00,10.5
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 02:00:00,6.5
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 03:00:00,5.6
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 04:00:00,6.0
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 05:00:00,11.2
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 06:00:00,19.8
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 07:00:00,24.4
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 08:00:00,25.2
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 09:00:00,22.5
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 10:00:00,19.3
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 11:00:00,15.0
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 12:00:00,17.9
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 13:00:00,37.8
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 14:00:00,41.0
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 15:00:00,47.5
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 16:00:00,43.9
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 17:00:00,46.4
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 18:00:00,37.2
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 19:00:00,33.6
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 20:00:00,31.6
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 21:00:00,29.6
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 22:00:00,27.9
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-01-31 23:00:00,18.3
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 00:00:00,16.8
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 01:00:00,8.5
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 02:00:00,6.9
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 03:00:00,7.8
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 04:00:00,11.0
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 05:00:00,27.3
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 06:00:00,42.5
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 07:00:00,54.8
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 08:00:00,76.1
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 09:00:00,61.8
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 10:00:00,59.3
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 11:00:00,60.6
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 12:00:00,75.8
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 13:00:00,86.9
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 14:00:00,61.8
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 15:00:00,67.5
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 16:00:00,77.1
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 17:00:00,66.5
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 18:00:00,89.9
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 19:00:00,71.1
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 20:00:00,59.5
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 21:00:00,61.1
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 22:00:00,49.9
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-01 23:00:00,51.0
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 00:00:00,47.9
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 01:00:00,42.4
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 02:00:00,34.5
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 03:00:00,28.5
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 04:00:00,32.4
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 05:00:00,40.7
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 06:00:00,47.3
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 07:00:00,57.3
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 08:00:00,58.9
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 09:00:00,52.1
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 10:00:00,56.2
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 11:00:00,45.4
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 12:00:00,33.2
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 13:00:00,32.5
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 14:00:00,47.6
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 15:00:00,38.0
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 16:00:00,56.9
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 17:00:00,68.4
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 18:00:00,50.0
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 19:00:00,40.1
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 20:00:00,33.0
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 21:00:00,29.3
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 22:00:00,18.7
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-02 23:00:00,14.2
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 00:00:00,15.7
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 01:00:00,7.3
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 02:00:00,7.2
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 03:00:00,5.0
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 04:00:00,7.3
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 05:00:00,9.8
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 06:00:00,13.1
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 07:00:00,15.7
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 08:00:00,16.9
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 09:00:00,14.9
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 10:00:00,15.1
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 11:00:00,18.6
GN3,Greenwich - Plumstead High Street,NO2,NO2,2008-02-03 12:00:00,21.6
