site_code,site_name,latitude,longitude,overlap_start,overlap_end,overlap_years
WM0,Westminster - Horseferry Road,51.494681,-0.131938,2001-07-17 00:00:00,2025-06-10 00:45:45.819390,23.9
LH0,Hillingdon - Harlington,51.48878,-0.441627,2007-01-01 00:00:00,2025-06-10 00:45:45.814390,18.44
BL0,Camden - Bloomsbury,51.522287,-0.125848,2007-12-01 00:00:00,2025-06-10 00:45:45.812393,17.52
GN3,Greenwich - Plumstead High Street,51.486957,0.095111,2008-01-01 00:00:00,2025-06-10 00:45:45.813391,17.44
GR9,Greenwich - Westhorne Avenue,51.456357,0.040725,2008-01-01 00:00:00,2025-06-10 00:45:45.813391,17.44
CD1,Camden - Swiss Cottage,51.544219,-0.175284,2008-02-11 00:00:00,2025-06-10 00:45:45.812393,17.33
GR4,Greenwich - Eltham,51.45258,0.070766,2008-05-10 13:00:00,2025-06-10 00:45:45.813391,17.08
GN0,Greenwich - A206 Burrage Grove,51.490532,0.074003,2008-06-19 00:00:00,2025-06-10 00:45:45.813391,16.97
TH4,Tower Hamlets - Blackwall,51.5150461674013,-0.00841849265642741,2006-09-10 00:00:00,2023-02-15 00:00:00.000000,16.43
LW2,Lewisham - New Cross,51.474954,-0.039641,2012-04-11 12:00:00,2025-04-01 00:00:00.000000,12.97
